myposian_entry,meaning,reference,type
riga morchatochus,a by product of swamp slime,Season 2 Episode 10,word/expression
Robespierre Boinki,Balki's son,"Season 8 Episode 5,
Season 8 Episode 6",proper noun
Skeptos,an island to the west of Mypos,Season 4 Episode 22,proper noun
Stuki mookie ping pong,stewed prunes with lucky charms,Season 5 Episode 9,proper noun
Succotash,"mother of the Myposian fib furies Eva, Magda and Zsa Zsa, wife of Vertash",Season 5 Episode 1,proper noun
Suprides,Balki and Larry’s dog,Season 2 Episode 12,proper noun
Tamiki,an island in the South Pacific,Season 5 Episode 15,proper noun
teensy meensy insy binsy,A very small amount,Season 8 Episode 1,word/expression
Teflonos,Myposian god of protection,Season 5 Episode 6,proper noun
Thriftos,uncle of Balki,Season 5 Episode 9,proper noun
Tomopoulos,Myposian athlete,Season 4 Episode 11,proper noun
Verbos Verazonns,"a citizen of Pathos, in love with Kiki Karadopolis",Season 4 Episode 22,proper noun
Vertash,"father of the Myposian fib furies Eva, Magda and Zsa Zsa, husband of Succotash",Season 5 Episode 1,proper noun
Vito Vavoomikis,Myposian who rents out VCRs,Season 5 Episode 11,proper noun
yaya,grandmother,Season 3 Episode 18,word/expression
Yaya Biki,Balki’s great-grandmother,Season 3 Episode 18,proper noun
Zakina boot. Rak mordik inta.,"The duel is on, and I'm fighting
it with you, short, lipless one.",Season 5 Episode 5,long text
Zimdog Zakibatbat,a sheepherder from Mypos,Season 2 Episode 16,proper noun
Zockibodbud,one of three Myposian brothers who had a falling out due to jealousy,Season 3 Episode 21,proper noun
Zoltan Bauchelitis,a cousin of Balki that challenges him to a duel,Season 7 Episode 2,proper noun
Zsazsa,"Myposian fib fury, daughter of Vertash and Succotash",Season 5 Episode 1,proper noun
